hand,P1,B1,P2,B2,P3,B3,player_3rd,banker_3rd,xgb_prob,nn_prob,bet_made,unit_size,result,outcome,bankroll
4,0.0,0.0,4.0,0.0,9,0,0,0,0.4886,0.5049,Banker,0,NO BET,0,348.0
5,0.0,0.0,0.0,6.0,8,0,1,0,0.7831,0.539,Banker,20,WIN,2,368.0
6,0.0,0.0,1.0,0.0,0,9,0,0,0.4896,0.5009,Banker,0,NO BET,0,368.0
7,0.0,2.0,0.0,0.0,7,8,1,1,0.4638,0.4997,Player,20,WIN,0,388.0
8,0.0,0.0,0.0,7.0,0,9,0,0,0.4863,0.4996,Banker,0,NO BET,0,388.0
9,0.0,8.0,9.0,5.0,0,7,1,0,0.7678,0.5418,Player,20,LOSS,2,368.0
10,0.0,0.0,8.0,2.0,1,4,0,0,0.491,0.4964,Banker,0,NO BET,0,368.0
11,1.0,4.0,7.0,9.0,6,1,1,1,0.4691,0.5023,Banker,20,LOSS,0,348.0
12,0.0,0.0,6.0,9.0,6,2,1,1,0.4723,0.5001,Banker,20,LOSS,0,328.0
13,0.0,0.0,0.0,9.0,2,0,0,0,0.4908,0.4942,Player,0,NO BET,0,328.0
14,0.0,4.0,2.0,3.0,4,7,1,1,0.49,0.5016,Player,0,NO BET,0,328.0
15,9.0,3.0,1.0,1.0,5,4,1,1,0.49,0.502,Player,0,NO BET,0,328.0
16,0.0,3.0,0.0,6.0,0,3,1,0,0.6764,0.5527,Tie,20,NO BET,2,328.0
17,0.0,3.0,0.0,0.0,0,2,1,1,0.474,0.506,Player,20,WIN,0,348.0
18,0.0,0.0,0.0,8.0,1,6,0,0,0.515,0.5056,Player,0,NO BET,2,348.0
19,0.0,2.0,0.0,0.0,6,7,1,1,0.4696,0.5049,Player,20,WIN,0,368.0
20,0.0,1.0,9.0,9.0,6,0,1,0,0.6665,0.5622,Banker,20,WIN,2,388.0
21,8.0,5.0,0.0,3.0,4,6,1,1,0.47,0.5061,Banker,20,LOSS,0,368.0
22,0.0,0.0,0.0,9.0,0,7,0,0,0.5092,0.5154,Player,0,NO BET,2,368.0
23,4.0,9.0,5.0,0.0,4,4,1,1,0.47,0.5102,Banker,20,LOSS,0,348.0
24,0.0,4.0,6.0,9.0,6,7,1,1,0.4687,0.5143,Banker,20,LOSS,0,328.0
25,0.0,0.0,0.0,7.0,0,4,0,0,0.509,0.5248,Banker,0,NO BET,2,328.0
26,0.0,0.0,2.0,6.0,0,8,1,0,0.6666,0.5759,Banker,20,WIN,2,348.0
27,0.0,0.0,7.0,8.0,1,8,0,0,0.509,0.5334,Banker,0,NO BET,2,348.0
28,0.0,3.0,3.0,0.0,0,7,1,1,0.4683,0.5168,Player,20,WIN,0,368.0
29,0.0,0.0,5.0,3.0,2,2,0,0,0.5108,0.5413,Player,0,NO BET,2,368.0
30,0.0,0.0,5.0,6.0,0,2,0,0,0.5108,0.5436,Banker,0,NO BET,2,368.0
31,3.0,1.0,5.0,9.0,5,2,1,1,0.4683,0.5223,Player,20,WIN,0,388.0
32,4.0,6.0,0.0,3.0,6,0,1,1,0.4683,0.5238,Player,20,WIN,0,408.0
33,2.0,9.0,7.0,5.0,3,3,1,1,0.4687,0.5252,Banker,20,LOSS,0,388.0
34,5.0,0.0,5.0,7.0,5,0,1,1,0.4687,0.5258,Banker,20,LOSS,0,368.0
35,0.0,8.0,9.0,5.0,7,6,1,0,0.6685,0.6086,Player,20,LOSS,2,348.0
36,0.0,0.0,5.0,4.0,5,0,0,0,0.5109,0.5648,Player,0,NO BET,2,348.0
37,0.0,0.0,9.0,3.0,0,3,1,1,0.4685,0.5261,Banker,20,LOSS,0,328.0
38,0.0,0.0,2.0,2.0,2,2,0,0,0.5106,0.5713,Player,0,NO BET,2,328.0
39,0.0,0.0,7.0,4.0,0,4,1,0,0.6684,0.6276,Banker,20,WIN,2,348.0
40,0.0,0.0,3.0,5.0,5,7,0,0,0.5118,0.5692,Player,0,NO BET,2,348.0
41,2.0,3.0,0.0,3.0,4,3,1,1,0.4652,0.5285,Player,20,WIN,0,368.0
42,0.0,0.0,0.0,0.0,2,6,0,0,0.5132,0.5774,Banker,0,NO BET,2,368.0
43,0.0,3.0,1.0,5.0,9,0,1,0,0.6693,0.6423,Tie,20,NO BET,2,368.0
44,0.0,3.0,2.0,7.0,0,8,1,0,0.6683,0.6474,Banker,20,WIN,2,388.0
45,5.0,0.0,0.0,2.0,0,3,1,1,0.4556,0.5297,Tie,20,NO BET,0,388.0
46,0.0,0.0,5.0,8.0,1,8,0,0,0.5006,0.5767,Banker,0,NO BET,2,388.0
47,0.0,0.0,0.0,4.0,7,5,1,0,0.6558,0.6533,Player,20,LOSS,2,368.0
48,0.0,0.0,3.0,2.0,0,6,0,0,0.4899,0.5775,Banker,0,NO BET,0,368.0
49,0.0,0.0,2.0,5.0,3,2,0,0,0.4886,0.5774,Player,0,NO BET,0,368.0
50,0.0,0.0,0.0,5.0,5,0,0,0,0.4952,0.5741,Player,0,NO BET,0,368.0
51,0.0,0.0,5.0,3.0,0,9,0,0,0.4952,0.5754,Banker,0,NO BET,0,368.0
52,0.0,0.0,8.0,0.0,4,0,0,0,0.4974,0.5756,Player,0,NO BET,0,368.0
53,0.0,0.0,4.0,5.0,6,7,0,0,0.5008,0.5754,Player,0,NO BET,2,368.0
54,0.0,0.0,1.0,0.0,8,0,0,0,0.5008,0.5733,Banker,0,NO BET,2,368.0
55,0.0,0.0,6.0,4.0,0,9,1,0,0.6904,0.6581,Player,20,LOSS,2,348.0
1,2.0,9.0,0.0,0.0,0,1,1,1,0.4516,0.4941,Tie,28,NO BET,0,573.0
2,0.0,0.0,0.0,9.0,9,3,0,0,0.4885,0.5103,Player,0,NO BET,0,573.0
3,0.0,0.0,0.0,5.0,0,9,1,0,0.7844,0.5435,Player,28,LOSS,2,545.0
4,0.0,4.0,0.0,0.0,8,0,1,1,0.4568,0.4983,Player,28,WIN,0,573.0
5,0.0,0.0,6.0,0.0,5,1,0,0,0.4896,0.5026,Tie,0,NO BET,0,573.0
6,0.0,0.0,6.0,6.0,9,0,1,0,0.7761,0.5391,Player,28,LOSS,2,545.0
7,0.0,0.0,9.0,0.0,3,1,0,0,0.4875,0.4997,Player,0,NO BET,0,545.0
8,0.0,0.0,1.0,3.0,2,4,0,0,0.4875,0.4999,Player,0,NO BET,0,545.0
9,0.0,0.0,3.0,2.0,8,0,0,0,0.4863,0.5013,Banker,0,NO BET,0,545.0
10,0.0,0.0,7.0,0.0,6,8,0,0,0.4846,0.4997,Banker,28,LOSS,0,517.0
11,0.0,2.0,8.0,1.0,5,8,1,0,0.7678,0.5411,Player,28,LOSS,2,489.0
12,0.0,0.0,4.0,3.0,0,9,0,0,0.4842,0.4982,Banker,28,LOSS,0,461.0
1,0.0,9.0,6.0,4.0,0,9,1,0,0.7886,0.5348,Tie,28,NO BET,2,461.0
2,0.0,0.0,0.0,0.0,0,0,0,0,0.489,0.5062,Banker,0,NO BET,0,461.0
3,5.0,7.0,1.0,3.0,4,9,1,1,0.4565,0.4934,Player,28,WIN,0,489.0
4,0.0,0.0,0.0,0.0,4,0,1,0,0.7825,0.5375,Banker,28,WIN,2,517.0
1,0.0,0.0,0.0,0.0,0,0,0,0,0.4926,0.5075,Banker,0,NO BET,0,517.0
2,0.0,0.0,7.0,0.0,7,0,0,0,0.4914,0.5087,Tie,0,NO BET,0,517.0
3,0.0,0.0,0.0,1.0,7,2,0,0,0.4909,0.5096,Banker,0,NO BET,0,517.0
4,0.0,0.0,6.0,2.0,0,0,0,0,0.4909,0.5076,Banker,0,NO BET,0,517.0
5,0.0,0.0,6.0,2.0,0,0,0,0,0.4909,0.5058,Player,0,NO BET,0,517.0
6,4.0,0.0,3.0,2.0,6,0,1,1,0.4651,0.4937,Banker,28,LOSS,0,489.0
7,0.0,0.0,5.0,4.0,4,1,0,0,0.4924,0.5041,Player,0,NO BET,0,489.0
