hand,P1,B1,P2,B2,P3,B3,player_3rd,banker_3rd,xgb_prob,nn_prob,bet_made,unit_size,result,outcome,bankroll
29,0.0,3.0,3.0,0.0,0,0,1,0,0.6668,0.5625,Player,30,LOSS,2,469.0
30,0.0,8.0,8.0,0.0,1,0,1,0,0.6668,0.5625,Player,30,LOSS,2,439.0
31,0.0,0.0,9.0,0.0,8,3,0,0,0.5089,0.5194,Player,0,NO BET,2,439.0
32,0.0,0.0,6.0,0.0,1,7,0,0,0.5089,0.5236,Banker,0,NO BET,2,439.0
33,0.0,9.0,7.0,5.0,0,3,1,0,0.6672,0.5683,Banker,30,WIN,2,469.0
34,0.0,0.0,3.0,2.0,6,2,0,0,0.5093,0.527,Banker,0,NO BET,2,469.0
35,0.0,0.0,1.0,8.0,4,0,0,0,0.5093,0.5309,Player,0,NO BET,2,469.0
36,0.0,0.0,0.0,0.0,0,0,0,0,0.5093,0.5309,Banker,0,NO BET,2,469.0
37,2.0,2.0,2.0,8.0,8,1,1,1,0.4675,0.5148,Player,30,WIN,0,499.0
38,8.0,5.0,0.0,0.0,0,7,1,1,0.4675,0.5145,Banker,30,LOSS,0,469.0
39,0.0,0.0,7.0,0.0,0,7,0,0,0.5127,0.5429,Tie,0,NO BET,2,469.0
40,0.0,0.0,4.0,5.0,0,0,0,0,0.5127,0.5439,Player,0,NO BET,2,469.0
41,0.0,0.0,9.0,0.0,9,0,0,0,0.5127,0.5471,Tie,0,NO BET,2,469.0
42,0.0,0.0,5.0,1.0,0,8,0,0,0.5127,0.5468,Banker,0,NO BET,2,469.0
43,0.0,0.0,8.0,2.0,6,8,0,0,0.5133,0.5511,Banker,0,NO BET,2,469.0
44,0.0,0.0,4.0,4.0,1,0,0,0,0.5133,0.5545,Player,0,NO BET,2,469.0
45,0.0,0.0,9.0,9.0,7,0,0,0,0.5123,0.5584,Player,0,NO BET,2,469.0
46,0.0,0.0,0.0,2.0,2,6,1,1,0.4688,0.5186,Banker,30,LOSS,0,439.0
47,0.0,0.0,6.0,3.0,3,3,0,0,0.5114,0.5657,Player,0,NO BET,2,439.0
48,0.0,0.0,4.0,5.0,7,5,0,0,0.5114,0.5613,Player,0,NO BET,2,439.0
1,0.0,0.0,7.0,7.0,6,0,0,0,0.4926,0.5077,Banker,0,NO BET,0,549.0
2,0.0,0.0,0.0,4.0,0,9,1,0,0.7886,0.5376,Player,26,LOSS,2,523.0
3,0.0,1.0,9.0,1.0,3,8,1,0,0.7876,0.5391,Player,26,LOSS,2,497.0
4,0.0,0.0,0.0,9.0,0,3,0,0,0.4886,0.5086,Player,0,NO BET,0,497.0
5,5.0,7.0,5.0,8.0,6,7,1,1,0.458,0.4947,Player,0,NO BET,0,497.0
6,0.0,0.0,0.0,3.0,0,8,0,0,0.4896,0.5061,Banker,0,NO BET,0,497.0
7,0.0,4.0,7.0,5.0,3,9,1,1,0.458,0.4987,Player,0,NO BET,0,497.0
8,0.0,0.0,1.0,6.0,6,0,0,0,0.4896,0.5044,Player,0,NO BET,0,497.0
1,0.0,0.0,2.0,4.0,1,2,0,0,0.4926,0.5095,Player,0,NO BET,0,497.0
2,2.0,3.0,0.0,2.0,4,0,1,1,0.4516,0.4973,Player,0,NO BET,0,497.0
3,0.0,0.0,1.0,8.0,0,9,0,0,0.4905,0.509,Tie,0,NO BET,0,497.0
4,0.0,0.0,9.0,7.0,6,8,0,0,0.4881,0.5073,Player,0,NO BET,0,497.0
5,5.0,0.0,5.0,9.0,3,0,1,1,0.458,0.5,Player,0,NO BET,0,497.0
6,0.0,0.0,0.0,0.0,0,0,0,0,0.4896,0.5045,Banker,0,NO BET,0,497.0
7,0.0,4.0,5.0,4.0,2,0,1,0,0.7866,0.5402,Banker,24,WIN,2,521.0
8,0.0,0.0,1.0,1.0,0,8,0,0,0.4933,0.5001,Banker,0,NO BET,0,521.0
9,0.0,0.0,6.0,3.0,2,2,1,0,0.7866,0.5415,Banker,39,WIN,2,560.0
10,0.0,0.0,7.0,0.0,0,6,1,0,0.7771,0.5412,Player,42,LOSS,2,518.0
1,0.0,0.0,0.0,0.0,2,2,1,1,0.4516,0.4946,Tie,0,NO BET,0,535.0
2,0.0,0.0,4.0,4.0,0,0,0,0,0.4914,0.5073,Player,0,NO BET,0,535.0
3,0.0,1.0,9.0,5.0,0,2,1,0,0.786,0.5411,Banker,26,WIN,2,561.0
4,0.0,9.0,8.0,8.0,3,2,1,0,0.7849,0.543,Player,28,LOSS,2,533.0
1,0.0,0.0,6.0,0.0,5,3,0,0,0.4926,0.506,Banker,0,NO BET,0,535.0
2,0.0,5.0,2.0,9.0,3,1,1,0,0.7902,0.5381,Player,26,LOSS,2,509.0
1,0.0,0.0,2.0,6.0,7,9,0,0,0.4926,0.5076,Player,0,NO BET,0,535.0
2,0.0,8.0,8.0,1.0,3,0,1,0,0.7908,0.5401,Player,26,LOSS,2,509.0
3,0.0,0.0,0.0,0.0,9,0,0,0,0.4881,0.5078,Banker,0,NO BET,0,509.0
4,0.0,0.0,0.0,7.0,9,5,1,0,0.7876,0.5427,Banker,24,WIN,2,533.0
5,0.0,0.0,9.0,7.0,0,7,0,0,0.4882,0.5071,Banker,0,NO BET,0,533.0
6,0.0,6.0,0.0,6.0,5,6,1,0,0.7859,0.5407,Banker,26,WIN,2,559.0
7,0.0,0.0,7.0,0.0,8,7,0,0,0.4896,0.5036,Tie,0,NO BET,0,559.0
8,0.0,7.0,8.0,9.0,6,0,1,0,0.7841,0.542,Tie,26,NO BET,2,559.0
9,0.0,0.0,3.0,1.0,8,0,0,0,0.4896,0.5023,Banker,0,NO BET,0,559.0
10,0.0,0.0,5.0,5.0,8,8,1,0,0.7854,0.538,Tie,39,NO BET,2,559.0
11,0.0,0.0,8.0,1.0,5,0,0,0,0.4915,0.4958,Player,0,NO BET,0,559.0
12,0.0,5.0,0.0,0.0,4,0,1,1,0.465,0.4951,Player,0,NO BET,0,559.0
13,0.0,3.0,9.0,3.0,0,6,1,1,0.4693,0.4954,Banker,0,NO BET,0,559.0
14,0.0,2.0,5.0,7.0,4,4,1,0,0.7649,0.5362,Player,39,LOSS,2,520.0
15,5.0,6.0,3.0,0.0,0,6,1,1,0.4802,0.4903,Banker,0,NO BET,0,520.0
16,0.0,0.0,6.0,0.0,9,7,0,0,0.4905,0.5014,Tie,0,NO BET,0,520.0
17,0.0,0.0,0.0,0.0,3,8,1,0,0.6695,0.5406,Player,26,LOSS,2,494.0
18,0.0,0.0,0.0,1.0,9,0,0,0,0.5113,0.503,Banker,0,NO BET,2,494.0
19,0.0,5.0,5.0,4.0,0,0,1,0,0.6728,0.5392,Banker,24,WIN,2,518.0
20,0.0,0.0,2.0,5.0,4,0,1,1,0.47,0.4897,Banker,0,NO BET,0,518.0
21,0.0,3.0,7.0,0.0,7,1,1,0,0.6728,0.5433,Banker,24,WIN,2,542.0
22,0.0,0.0,5.0,3.0,9,5,0,0,0.5196,0.5082,Player,0,NO BET,2,542.0
23,0.0,0.0,1.0,0.0,8,0,0,0,0.5196,0.5089,Banker,0,NO BET,2,542.0
24,0.0,2.0,9.0,2.0,1,8,1,1,0.47,0.4906,Banker,0,NO BET,0,542.0
25,0.0,8.0,2.0,0.0,4,0,1,0,0.6713,0.5494,Banker,26,WIN,2,568.0
26,0.0,0.0,0.0,0.0,6,9,1,0,0.6713,0.5506,Player,28,LOSS,2,540.0
27,0.0,7.0,0.0,4.0,0,1,1,0,0.6717,0.5514,Player,39,LOSS,2,501.0
28,0.0,0.0,0.0,0.0,9,0,0,0,0.5143,0.518,Banker,0,NO BET,2,501.0
29,0.0,0.0,4.0,2.0,6,0,0,0,0.5139,0.5209,Tie,0,NO BET,2,501.0
30,0.0,0.0,1.0,9.0,9,8,0,0,0.5139,0.5232,Banker,0,NO BET,2,501.0
31,0.0,3.0,4.0,0.0,4,0,1,0,0.672,0.5562,Player,36,LOSS,2,465.0
32,0.0,0.0,4.0,6.0,1,0,1,0,0.6721,0.5626,Banker,33,WIN,2,498.0
33,0.0,0.0,6.0,3.0,1,0,0,0,0.5141,0.5356,Player,0,NO BET,2,498.0
34,0.0,0.0,1.0,9.0,0,0,0,0,0.5127,0.5366,Player,0,NO BET,2,498.0
35,2.0,0.0,0.0,0.0,6,2,1,1,0.4691,0.5191,Player,0,NO BET,0,498.0
36,0.0,0.0,3.0,8.0,6,2,0,0,0.5129,0.5456,Banker,0,NO BET,2,498.0
37,0.0,0.0,3.0,0.0,9,0,0,0,0.5129,0.5485,Banker,0,NO BET,2,498.0
38,6.0,4.0,4.0,7.0,9,4,1,1,0.4684,0.5241,Player,0,NO BET,0,498.0
39,0.0,0.0,9.0,0.0,1,0,0,0,0.5124,0.5625,Player,0,NO BET,2,498.0
1,0.0,0.0,2.0,7.0,0,2,0,0,0.4926,0.5099,Player,0,NO BET,0,599.0
2,0.0,0.0,2.0,0.0,0,9,0,0,0.4909,0.5101,Banker,0,NO BET,0,599.0
3,0.0,0.0,6.0,4.0,0,0,1,0,0.7886,0.5428,Player,0,NO BET,2,599.0
4,0.0,8.0,9.0,0.0,0,8,1,0,0.7849,0.5433,Banker,0,NO BET,2,599.0
5,0.0,0.0,4.0,6.0,7,1,1,1,0.4583,0.4955,Player,0,NO BET,0,599.0
6,0.0,0.0,0.0,0.0,0,0,0,0,0.4896,0.5016,Banker,0,NO BET,0,599.0
7,0.0,3.0,0.0,7.0,0,7,1,0,0.769,0.5462,Banker,0,NO BET,2,599.0
8,0.0,2.0,3.0,4.0,3,4,1,0,0.7713,0.5475,Player,0,NO BET,2,599.0
9,0.0,3.0,2.0,7.0,7,1,1,0,0.7716,0.5503,Player,0,NO BET,2,599.0
10,0.0,0.0,9.0,0.0,0,7,0,0,0.4883,0.511,Player,0,NO BET,0,599.0
11,9.0,1.0,2.0,0.0,7,6,1,1,0.4704,0.5019,Banker,0,NO BET,0,599.0
1,0.0,0.0,0.0,0.0,6,2,0,0,0.4926,0.5061,Banker,0,NO BET,0,579.0
2,0.0,0.0,3.0,5.0,4,2,0,0,0.4909,0.5071,Player,0,NO BET,0,579.0
3,1.0,4.0,0.0,0.0,7,4,1,1,0.4537,0.4926,Banker,0,NO BET,0,579.0
4,0.0,8.0,2.0,0.0,7,3,1,0,0.7892,0.5424,Banker,28,WIN,2,607.0
5,0.0,5.0,7.0,0.0,5,9,1,0,0.7901,0.5417,Banker,30,WIN,2,637.0
6,0.0,0.0,0.0,0.0,0,0,0,0,0.492,0.5044,Banker,0,NO BET,0,637.0
7,0.0,0.0,0.0,8.0,4,6,0,0,0.4952,0.5026,Player,0,NO BET,0,637.0
8,0.0,7.0,9.0,9.0,6,4,1,0,0.7863,0.5377,Banker,45,WIN,2,682.0
9,2.0,0.0,0.0,1.0,0,3,1,1,0.4665,0.4946,Banker,0,NO BET,0,682.0
10,0.0,8.0,8.0,0.0,2,1,1,0,0.7771,0.5387,Player,51,LOSS,2,631.0
11,0.0,0.0,3.0,0.0,4,5,1,1,0.4704,0.4971,Banker,0,NO BET,0,631.0
12,7.0,5.0,4.0,0.0,7,7,1,1,0.4704,0.494,Player,0,NO BET,0,631.0
13,0.0,0.0,0.0,5.0,2,6,1,0,0.7451,0.5382,Player,45,LOSS,2,586.0
14,9.0,5.0,0.0,2.0,3,0,1,1,0.4844,0.495,Player,0,NO BET,0,586.0
15,0.0,2.0,5.0,3.0,9,3,1,0,0.708,0.5451,Player,28,LOSS,2,558.0
16,1.0,9.0,2.0,1.0,0,3,1,1,0.4682,0.5025,Banker,0,NO BET,0,558.0
17,0.0,0.0,0.0,0.0,6,0,1,0,0.6712,0.5528,Banker,26,WIN,2,584.0
18,0.0,7.0,7.0,0.0,1,4,1,0,0.6712,0.5574,Banker,28,WIN,2,612.0
19,0.0,0.0,0.0,9.0,4,9,1,0,0.6708,0.5598,Player,30,LOSS,2,582.0
20,0.0,0.0,8.0,0.0,0,6,0,0,0.5203,0.5108,Player,0,NO BET,2,582.0
21,0.0,5.0,1.0,0.0,3,0,1,1,0.4747,0.4977,Player,0,NO BET,0,582.0
22,0.0,4.0,2.0,8.0,6,0,1,0,0.6764,0.5633,Player,28,LOSS,2,554.0
23,0.0,2.0,0.0,1.0,1,4,1,1,0.4746,0.4993,Banker,0,NO BET,0,554.0
24,0.0,6.0,0.0,6.0,7,5,1,0,0.6741,0.5657,Banker,26,WIN,2,580.0
25,0.0,0.0,4.0,5.0,1,7,0,0,0.5172,0.5218,Player,0,NO BET,2,580.0
26,0.0,0.0,1.0,8.0,0,4,0,0,0.5172,0.5238,Player,0,NO BET,2,580.0
27,0.0,0.0,6.0,4.0,0,9,0,0,0.5172,0.5264,Banker,0,NO BET,2,580.0
28,0.0,7.0,0.0,6.0,9,7,1,0,0.6685,0.581,Player,42,LOSS,2,538.0
29,0.0,0.0,4.0,4.0,0,0,1,0,0.6685,0.5832,Tie,39,NO BET,2,538.0
30,0.0,0.0,8.0,1.0,1,0,0,0,0.5112,0.5372,Player,0,NO BET,2,538.0
31,9.0,5.0,0.0,4.0,4,5,1,1,0.4687,0.5194,Banker,0,NO BET,0,538.0
1,0.0,0.0,8.0,6.0,5,3,1,1,0.4516,0.4929,Banker,0,NO BET,0,660.0
2,0.0,0.0,0.0,0.0,5,2,1,0,0.7892,0.5371,Banker,32,WIN,2,692.0
3,0.0,0.0,9.0,7.0,1,8,0,0,0.491,0.5051,Banker,0,NO BET,0,692.0
4,0.0,0.0,2.0,8.0,7,0,0,0,0.491,0.5045,Banker,0,NO BET,0,692.0
5,1.0,2.0,3.0,9.0,3,2,1,1,0.458,0.5019,Player,0,NO BET,0,692.0
6,0.0,7.0,8.0,0.0,6,0,1,0,0.7859,0.5459,Banker,34,WIN,2,726.0
7,0.0,3.0,9.0,1.0,6,0,1,0,0.7841,0.5464,Banker,36,WIN,2,762.0
8,6.0,9.0,0.0,4.0,6,8,1,1,0.4573,0.5013,Banker,0,NO BET,0,762.0
9,0.0,0.0,4.0,6.0,0,0,1,0,0.7859,0.5402,Banker,57,WIN,2,819.0
10,0.0,0.0,9.0,0.0,7,3,0,0,0.4966,0.5002,Player,0,NO BET,0,819.0
11,2.0,8.0,0.0,0.0,0,8,1,1,0.4657,0.5033,Banker,0,NO BET,0,819.0
12,0.0,1.0,5.0,7.0,3,0,1,0,0.7651,0.5449,Player,60,LOSS,2,759.0
13,0.0,6.0,1.0,6.0,8,1,1,0,0.7651,0.5469,Player,54,LOSS,2,705.0
14,0.0,6.0,1.0,0.0,0,6,1,0,0.7585,0.5488,Player,51,LOSS,2,654.0
15,0.0,5.0,0.0,0.0,4,0,1,0,0.7068,0.5477,Player,32,LOSS,2,622.0
16,0.0,0.0,7.0,3.0,3,5,1,1,0.4667,0.4959,Banker,0,NO BET,0,622.0
17,0.0,0.0,1.0,9.0,7,2,1,1,0.4667,0.4986,Player,0,NO BET,0,622.0
18,0.0,0.0,8.0,9.0,0,7,0,0,0.5113,0.5078,Tie,0,NO BET,2,622.0
1,0.0,0.0,6.0,8.0,2,0,1,0,0.7908,0.537,Player,30,LOSS,2,592.0
2,0.0,0.0,3.0,6.0,2,5,0,0,0.4905,0.5052,Player,0,NO BET,0,592.0
3,2.0,9.0,0.0,2.0,2,0,1,1,0.4537,0.4982,Player,0,NO BET,0,592.0
4,0.0,4.0,7.0,3.0,0,0,1,1,0.4589,0.4992,Player,0,NO BET,0,592.0
5,0.0,6.0,8.0,2.0,3,0,1,0,0.7875,0.5457,Banker,28,WIN,2,620.0
6,0.0,9.0,7.0,0.0,5,8,1,0,0.7841,0.5441,Player,30,LOSS,2,590.0
7,0.0,0.0,8.0,3.0,5,0,1,1,0.4618,0.5025,Player,0,NO BET,0,590.0
8,0.0,0.0,3.0,6.0,6,7,0,0,0.4896,0.502,Player,0,NO BET,0,590.0
9,0.0,0.0,7.0,0.0,6,1,0,0,0.4966,0.5006,Tie,0,NO BET,0,590.0
10,0.0,0.0,0.0,0.0,0,0,0,0,0.4916,0.4992,Player,0,NO BET,0,590.0
11,0.0,9.0,1.0,7.0,0,0,1,0,0.768,0.5438,Banker,42,WIN,2,632.0
12,0.0,0.0,6.0,4.0,9,4,1,0,0.7617,0.5417,Banker,45,WIN,2,677.0
13,0.0,0.0,6.0,8.0,0,8,0,0,0.4922,0.4951,Banker,0,NO BET,0,677.0
14,0.0,1.0,5.0,3.0,2,9,1,0,0.7479,0.5434,Player,48,LOSS,2,629.0
15,8.0,4.0,2.0,2.0,5,6,1,1,0.4839,0.4983,Player,0,NO BET,0,629.0
16,0.0,3.0,0.0,0.0,5,6,1,0,0.7098,0.5456,Player,45,LOSS,2,584.0
17,0.0,0.0,7.0,1.0,0,2,1,0,0.6726,0.5499,Player,28,LOSS,2,556.0
18,0.0,0.0,7.0,8.0,0,8,0,0,0.5154,0.5037,Banker,0,NO BET,2,556.0
19,0.0,1.0,1.0,0.0,5,9,1,0,0.6728,0.5529,Banker,26,WIN,2,582.0
20,8.0,5.0,7.0,5.0,7,1,1,1,0.47,0.4972,Banker,0,NO BET,0,582.0
21,0.0,0.0,8.0,3.0,9,0,0,0,0.5149,0.5102,Banker,0,NO BET,2,582.0
22,3.0,9.0,0.0,0.0,6,6,1,1,0.4678,0.4983,Banker,0,NO BET,0,582.0
23,3.0,2.0,0.0,5.0,7,8,1,1,0.4678,0.4969,Banker,0,NO BET,0,582.0
24,0.0,0.0,6.0,1.0,4,0,1,0,0.6738,0.5646,Player,42,LOSS,2,540.0
25,0.0,2.0,4.0,3.0,0,8,1,0,0.6744,0.5697,Player,39,LOSS,2,501.0
1,0.0,0.0,1.0,0.0,1,0,0,0,0.4926,0.5091,Banker,0,NO BET,0,592.0
2,0.0,6.0,0.0,1.0,0,2,1,0,0.7886,0.537,Player,28,LOSS,2,564.0
3,0.0,0.0,0.0,0.0,0,0,0,0,0.4909,0.5064,Tie,0,NO BET,0,564.0
4,0.0,0.0,1.0,7.0,1,0,0,0,0.4909,0.5067,Player,0,NO BET,0,564.0
5,0.0,4.0,9.0,8.0,7,0,1,0,0.7848,0.5395,Banker,28,WIN,2,592.0
6,0.0,0.0,0.0,0.0,0,0,0,0,0.492,0.5042,Player,0,NO BET,0,592.0
7,0.0,0.0,0.0,0.0,6,3,1,0,0.7696,0.5406,Banker,28,WIN,2,620.0
8,0.0,5.0,0.0,2.0,6,1,1,1,0.4688,0.4921,Banker,0,NO BET,0,620.0
9,0.0,3.0,2.0,0.0,3,2,1,0,0.7581,0.5447,Player,30,LOSS,2,590.0
10,0.0,0.0,0.0,0.0,5,0,1,1,0.4662,0.4947,Player,0,NO BET,0,590.0
11,0.0,0.0,7.0,1.0,0,0,0,0,0.5116,0.4976,Player,0,NO BET,2,590.0
12,0.0,3.0,0.0,6.0,0,0,1,0,0.6694,0.5447,Banker,14,WIN,2,604.0
13,0.0,8.0,4.0,5.0,0,0,1,0,0.6694,0.5417,Banker,15,WIN,2,619.0
14,0.0,0.0,0.0,7.0,7,0,1,0,0.6694,0.5431,Banker,15,WIN,2,634.0
15,0.0,3.0,4.0,1.0,2,5,1,0,0.6694,0.5435,Banker,30,WIN,2,664.0
16,0.0,3.0,6.0,7.0,0,3,1,1,0.4669,0.4942,Banker,0,NO BET,0,664.0
17,0.0,0.0,0.0,7.0,0,4,1,0,0.6733,0.5468,Banker,32,WIN,2,696.0
18,0.0,0.0,6.0,4.0,9,0,0,0,0.5202,0.5017,Banker,0,NO BET,2,696.0
19,0.0,0.0,0.0,7.0,9,9,0,0,0.5202,0.504,Banker,0,NO BET,2,696.0
20,0.0,0.0,5.0,2.0,8,0,0,0,0.5202,0.5037,Banker,0,NO BET,2,696.0
21,0.0,0.0,2.0,8.0,4,0,1,1,0.4752,0.4966,Player,0,NO BET,0,696.0
22,0.0,2.0,4.0,0.0,0,3,1,0,0.6773,0.5559,Player,34,LOSS,2,662.0
23,0.0,0.0,5.0,5.0,5,3,1,1,0.4752,0.4994,Player,0,NO BET,0,662.0
24,0.0,1.0,0.0,6.0,9,0,1,0,0.6773,0.5557,Banker,32,WIN,2,694.0
25,2.0,0.0,4.0,8.0,4,0,1,1,0.4752,0.4999,Player,0,NO BET,0,694.0
26,4.0,0.0,4.0,0.0,7,0,1,1,0.4757,0.4987,Banker,0,NO BET,0,694.0
27,1.0,0.0,6.0,6.0,5,4,1,1,0.4709,0.4987,Tie,0,NO BET,0,694.0
28,5.0,0.0,6.0,6.0,0,4,1,1,0.4692,0.4985,Banker,0,NO BET,0,694.0
29,0.0,0.0,1.0,7.0,7,0,0,0,0.5158,0.5259,Player,0,NO BET,2,694.0
30,0.0,0.0,4.0,8.0,0,6,1,1,0.4692,0.5031,Banker,0,NO BET,0,694.0
31,0.0,0.0,4.0,9.0,0,4,0,0,0.5158,0.5312,Tie,0,NO BET,2,694.0
1,0.0,0.0,9.0,0.0,1,0,0,0,0.4926,0.5087,Player,0,NO BET,0,552.0
2,0.0,7.0,0.0,5.0,7,1,1,0,0.7886,0.5376,Player,26,LOSS,2,526.0
3,0.0,9.0,3.0,6.0,0,0,1,0,0.787,0.5394,Banker,26,WIN,2,552.0
4,2.0,0.0,6.0,7.0,2,0,1,1,0.4565,0.4936,Player,0,NO BET,0,552.0
1,0.0,0.0,2.0,4.0,2,0,1,0,0.7902,0.5397,Banker,26,WIN,2,578.0
2,0.0,0.0,4.0,1.0,8,0,0,0,0.4905,0.508,Banker,0,NO BET,0,578.0
3,0.0,0.0,0.0,8.0,0,5,0,0,0.491,0.5056,Player,0,NO BET,0,578.0
1,0.0,0.0,9.0,8.0,0,0,0,0,0.4922,0.5086,Player,0,NO BET,0,578.0
2,0.0,0.0,0.0,0.0,0,0,0,0,0.491,0.5077,Banker,0,NO BET,0,578.0
3,0.0,0.0,9.0,2.0,7,2,0,0,0.4886,0.5085,Banker,0,NO BET,0,578.0
4,7.0,5.0,0.0,1.0,6,2,1,1,0.4565,0.4958,Player,0,NO BET,0,578.0
5,0.0,0.0,6.0,9.0,2,4,1,0,0.7849,0.5432,Player,28,LOSS,2,550.0
6,0.0,0.0,9.0,2.0,1,7,1,1,0.4583,0.4975,Banker,0,NO BET,0,550.0
7,0.0,0.0,1.0,8.0,3,0,0,0,0.4896,0.5036,Player,0,NO BET,0,550.0
8,0.0,5.0,0.0,0.0,0,4,1,0,0.7761,0.5425,Player,26,LOSS,2,524.0
9,0.0,0.0,9.0,1.0,4,5,0,0,0.4896,0.4984,Banker,0,NO BET,0,524.0
10,0.0,0.0,0.0,4.0,5,3,0,0,0.4912,0.498,Banker,0,NO BET,0,524.0
11,0.0,0.0,4.0,8.0,8,0,0,0,0.49,0.4955,Banker,0,NO BET,0,524.0
12,0.0,3.0,1.0,2.0,2,0,1,0,0.7705,0.5405,Tie,39,NO BET,2,524.0
13,0.0,2.0,0.0,8.0,7,8,1,0,0.7702,0.5418,Banker,39,WIN,2,563.0
14,0.0,0.0,5.0,9.0,0,9,0,0,0.4943,0.4959,Banker,0,NO BET,0,563.0
15,0.0,0.0,7.0,1.0,0,0,0,0,0.4945,0.496,Player,0,NO BET,0,563.0
16,0.0,2.0,2.0,8.0,7,2,1,0,0.7475,0.5494,Banker,42,WIN,2,605.0
17,0.0,0.0,0.0,0.0,0,0,0,0,0.5162,0.5003,Tie,0,NO BET,2,605.0
18,0.0,0.0,3.0,0.0,4,3,1,1,0.469,0.508,Banker,0,NO BET,0,605.0
19,0.0,0.0,1.0,0.0,9,0,0,0,0.5162,0.5054,Banker,0,NO BET,2,605.0
20,0.0,0.0,0.0,5.0,0,0,1,0,0.6736,0.5545,Banker,30,WIN,2,635.0
21,0.0,0.0,0.0,0.0,0,0,0,0,0.5162,0.5044,Banker,0,NO BET,2,635.0
22,0.0,0.0,6.0,0.0,0,6,0,0,0.5162,0.5053,Tie,0,NO BET,2,635.0
23,0.0,0.0,0.0,3.0,3,4,1,0,0.6736,0.5595,Banker,30,WIN,2,665.0
24,0.0,0.0,4.0,0.0,7,4,1,0,0.6736,0.5617,Player,32,LOSS,2,633.0
25,0.0,0.0,4.0,1.0,3,6,0,0,0.5167,0.5127,Banker,0,NO BET,2,633.0
26,0.0,0.0,0.0,5.0,3,6,0,0,0.5174,0.514,Banker,0,NO BET,2,633.0
1,0.0,0.0,6.0,0.0,6,0,0,0,0.4926,0.5038,Tie,0,NO BET,0,581.0
2,0.0,6.0,7.0,5.0,x,7,0,1,0.2033,0.4657,Banker,28,LOSS,0,553.0
3,0.0,6.0,1.0,9.0,d,0,1,1,0.4589,0.4897,Player,0,NO BET,0,553.0
4,0.0,0.0,3.0,5.0,9,3,0,0,0.489,0.5039,Player,0,NO BET,0,553.0
5,0.0,0.0,3.0,8.0,1,9,0,0,0.4886,0.5052,Banker,0,NO BET,0,553.0
6,0.0,0.0,0.0,7.0,2,5,0,0,0.49,0.5039,Tie,0,NO BET,0,553.0
7,0.0,0.0,0.0,5.0,2,6,0,0,0.4896,0.5008,Banker,0,NO BET,0,553.0
8,0.0,0.0,4.0,2.0,7,0,0,0,0.4896,0.5015,Banker,0,NO BET,0,553.0
9,0.0,0.0,5.0,1.0,0,9,0,0,0.4896,0.4992,Banker,0,NO BET,0,553.0
10,3.0,0.0,6.0,1.0,7,x,1,0,0.7888,0.541,Banker,39,WIN,2,592.0
11,0.0,9.0,7.0,0.0,x,0,1,0,0.7888,0.5422,Player,42,LOSS,2,550.0
12,0.0,0.0,3.0,6.0,4,0,0,0,0.4966,0.5001,Player,0,NO BET,0,550.0
13,0.0,0.0,8.0,1.0,1,9,0,0,0.4963,0.4991,Player,0,NO BET,0,550.0
14,0.0,0.0,0.0,3.0,9,0,0,0,0.4941,0.4991,Banker,0,NO BET,0,550.0
15,0.0,0.0,8.0,2.0,5,0,0,0,0.4929,0.497,Banker,0,NO BET,0,550.0
16,8.0,5.0,9.0,1.0,8,6,1,1,0.47,0.4959,Banker,0,NO BET,0,550.0
17,0.0,3.0,4.0,0.0,2,2,1,1,0.4737,0.5007,Player,0,NO BET,0,550.0
18,0.0,7.0,1.0,7.0,0,8,1,0,0.768,0.5537,Player,39,LOSS,2,511.0
19,9.0,7.0,0.0,2.0,x,6,0,1,0.2423,0.4685,Banker,36,LOSS,0,475.0
20,0.0,0.0,1.0,9.0,0,4,1,1,0.4865,0.4987,Banker,0,NO BET,0,475.0
21,0.0,5.0,7.0,5.0,5,7,1,1,0.47,0.4926,Banker,0,NO BET,0,475.0
22,0.0,0.0,0.0,0.0,0,0,0,0,0.5087,0.5113,Player,0,NO BET,2,475.0
23,0.0,0.0,8.0,6.0,6,3,0,0,0.5083,0.5136,Banker,0,NO BET,2,475.0
24,0.0,0.0,5.0,3.0,2,8,0,0,0.5083,0.5139,Player,0,NO BET,2,475.0
25,3.0,0.0,8.0,7.0,0,x,1,0,0.6672,0.5641,Banker,22,WIN,2,497.0
26,0.0,0.0,0.0,9.0,6,1,0,0,0.5087,0.5182,Player,0,NO BET,2,497.0
27,5.0,0.0,0.0,0.0,0,x,1,0,0.6713,0.5647,Player,36,LOSS,2,461.0
1,0.0,0.0,2.0,0.0,0,6,0,0,0.4926,0.5061,Banker,0,NO BET,0,461.0
2,0.0,0.0,2.0,6.0,9,1,0,0,0.4909,0.506,Player,0,NO BET,0,461.0
3,0.0,0.0,3.0,6.0,0,3,0,0,0.4909,0.5065,Player,0,NO BET,0,461.0
4,0.0,0.0,6.0,1.0,0,8,0,0,0.4905,0.5047,Banker,0,NO BET,0,461.0
5,2.0,0.0,6.0,4.0,7,0,1,1,0.4589,0.4936,Player,0,NO BET,0,461.0
6,0.0,0.0,3.0,5.0,0,5,0,0,0.492,0.5014,Player,0,NO BET,0,461.0
7,0.0,0.0,7.0,2.0,0,0,0,0,0.492,0.5013,Player,0,NO BET,0,461.0
